1.64	-0.054
1.645	-0.043
1.65	-0.017
1.655	0.015
1.66	0.034
1.665	0.035
1.67	0.030
1.675	0.031
1.68	0.033
1.685	0.021
1.69	-0.001
1.695	-0.012
1.7	-0.001
1.705	0.013
1.71	0.009
1.715	-0.004
1.72	0.001
1.725	0.028
1.73	0.046
1.735	0.037
1.74	0.025
1.745	0.036
1.75	0.061
1.755	0.067
1.76	0.049
1.765	0.038
1.77	0.047
1.775	0.057
1.78	0.050
1.785	0.043
1.79	0.056
1.795	0.079
1.8	0.087
1.805	0.077
1.81	0.072
1.815	0.079
1.82	0.085
1.825	0.081
1.83	0.077
1.835	0.080
1.84	0.083
1.845	0.078
1.85	0.065
1.855	0.046
1.86	0.019
1.865	-0.017
1.87	-0.051
1.875	-0.078
1.88	-0.102
1.885	-0.125
1.89	-0.130
1.895	-0.111
1.9	-0.091
1.905	-0.093
1.91	-0.105
1.915	-0.096
1.92	-0.059
1.925	-0.023
1.93	-0.006
1.935	0.006
1.94	0.028
1.945	0.051
1.95	0.058
1.955	0.053
1.96	0.051
1.965	0.050
1.97	0.038
1.975	0.019
1.98	0.006
1.985	0.001
1.99	-0.004
1.995	-0.009
2	-0.008
2.005	-0.003
2.01	-0.006
2.015	-0.013
2.02	-0.011
2.025	-0.002
2.03	-0.004
2.035	-0.016
2.04	-0.016
2.045	0.007
2.05	0.026
2.055	0.016
2.06	-0.002
2.065	0.004
2.07	0.027
2.075	0.032
2.08	0.014
2.085	0.003
2.09	0.014
2.095	0.020
2.1	0.003
2.105	-0.015
2.11	-0.011
2.115	0.002
2.12	-0.007
2.125	-0.038
2.13	-0.057
2.135	-0.051
2.14	-0.041
2.145	-0.051
2.15	-0.078
2.155	-0.103
2.16	-0.113
2.165	-0.113
2.17	-0.111
2.175	-0.114
2.18	-0.121
2.185	-0.120
2.19	-0.108
2.195	-0.099
2.2	-0.106
2.205	-0.119
2.21	-0.109
2.215	-0.076
2.22	-0.052
2.225	-0.053
2.23	-0.058
2.235	-0.044
2.24	-0.020
2.245	-0.007
2.25	-0.004
2.255	0.009
2.26	0.032
2.265	0.041
2.27	0.026
2.275	0.005
2.28	0.001
2.285	0.008
2.29	0.010
2.295	0.001
2.3	-0.010
2.305	-0.017
2.31	-0.022
2.315	-0.026
2.32	-0.030
2.325	-0.031
2.33	-0.031
2.335	-0.028
2.34	-0.023
2.345	-0.017
2.35	-0.011
2.355	0.001
2.36	0.018
2.365	0.033
2.37	0.036
2.375	0.032
2.38	0.031
2.385	0.034
2.39	0.033
2.395	0.020
2.4	0.001
2.405	-0.013
2.41	-0.020
2.415	-0.024
2.42	-0.030
2.425	-0.033
2.43	-0.027
2.435	-0.014
2.44	-0.007
2.445	-0.012
2.45	-0.016
2.455	-0.004
2.46	0.020
2.465	0.037
2.47	0.034
2.475	0.026
2.48	0.035
2.485	0.061
2.49	0.085
2.495	0.097
2.5	0.103
2.505	0.113
2.51	0.123
2.515	0.119
2.52	0.102
2.525	0.086
2.53	0.082
2.535	0.084
2.54	0.080
2.545	0.062
2.55	0.039
2.555	0.019
2.56	0.003
2.565	-0.012
2.57	-0.023
2.575	-0.022
2.58	-0.008
2.585	0.007
2.59	0.017
2.595	0.025
2.6	0.039
2.605	0.056
2.61	0.068
2.615	0.075
2.62	0.076
2.625	0.076
2.63	0.075
2.635	0.077
2.64	0.081
2.645	0.080
2.65	0.068
2.655	0.055
2.66	0.054
2.665	0.066
2.67	0.076
2.675	0.071
2.68	0.057
2.685	0.049
2.69	0.053
2.695	0.063
2.7	0.069
2.705	0.069
2.71	0.063
2.715	0.057
2.72	0.052
2.725	0.047
2.73	0.039
2.735	0.033
2.74	0.033
2.745	0.037
2.75	0.036
2.755	0.034
2.76	0.043
2.765	0.064
2.77	0.080
2.775	0.077
2.78	0.061
2.785	0.047
2.79	0.038
2.795	0.028
2.8	0.015
2.805	0.002
2.81	-0.010
2.815	-0.026
2.82	-0.043
2.825	-0.053
2.83	-0.054
2.835	-0.052
2.84	-0.051
2.845	-0.052
2.85	-0.055
2.855	-0.060
2.86	-0.056
2.865	-0.038
2.87	-0.015
2.875	-0.008
2.88	-0.016
2.885	-0.018
2.89	-0.004
2.895	0.009
2.9	0.002
2.905	-0.012
2.91	-0.016
2.915	-0.014
2.92	-0.026
2.925	-0.047
2.93	-0.057
2.935	-0.051
2.94	-0.053
2.945	-0.074
2.95	-0.096
2.955	-0.099
2.96	-0.091
2.965	-0.093
2.97	-0.101
2.975	-0.102
2.98	-0.096
2.985	-0.096
2.99	-0.102
2.995	-0.100
3	-0.085
3.005	-0.069
3.01	-0.062
3.015	-0.053
3.02	-0.035
3.025	-0.018
3.03	-0.014
3.035	-0.018
3.04	-0.015
3.045	-0.008
3.05	-0.010
3.055	-0.021
3.06	-0.030
3.065	-0.031
3.07	-0.035
3.075	-0.046
3.08	-0.060
3.085	-0.071
3.09	-0.085
3.095	-0.102
3.1	-0.112
3.105	-0.110
3.11	-0.104
3.115	-0.099
3.12	-0.091
3.125	-0.074
3.13	-0.057
3.135	-0.054
3.14	-0.061
3.145	-0.062
3.15	-0.056
3.155	-0.054
3.16	-0.056
3.165	-0.050
3.17	-0.032
3.175	-0.015
3.18	-0.014
3.185	-0.018
3.19	-0.016
3.195	-0.011
3.2	-0.012
3.205	-0.015
3.21	-0.012
3.215	-0.008
3.22	-0.020
3.225	-0.045
3.23	-0.061
3.235	-0.057
3.24	-0.048
3.245	-0.051
3.25	-0.061
3.255	-0.062
3.26	-0.053
3.265	-0.044
3.27	-0.035
3.275	-0.021
3.28	-0.005
3.285	0.005
3.29	0.013
3.295	0.035
3.3	0.064
3.305	0.078
3.31	0.071
3.315	0.062
3.32	0.071
3.325	0.084
3.33	0.074
3.335	0.041
3.34	0.011
3.345	-0.002
3.35	-0.010
3.355	-0.027
3.36	-0.044
3.365	-0.046
3.37	-0.036
3.375	-0.030
3.38	-0.033
3.385	-0.039
3.39	-0.039
3.395	-0.036
3.4	-0.033
3.405	-0.027
3.41	-0.019
3.415	-0.013
3.42	-0.013
3.425	-0.016
3.43	-0.018
3.435	-0.016
3.44	-0.011
3.445	-0.007
3.45	-0.001
3.455	0.007
3.46	0.014
3.465	0.019
3.47	0.024
3.475	0.030
3.48	0.033
3.485	0.027
3.49	0.012
3.495	-0.001
3.5	-0.006
3.505	-0.009
3.51	-0.021
3.515	-0.041
3.52	-0.056
3.525	-0.059
3.53	-0.056
3.535	-0.049
3.54	-0.031
3.545	-0.003
3.55	0.023
3.555	0.037
3.56	0.045
3.565	0.060
3.57	0.078
3.575	0.089
3.58	0.093
3.585	0.094
3.59	0.094
3.595	0.086
3.6	0.077
3.605	0.081
3.61	0.096
3.615	0.101
3.62	0.088
3.625	0.073
3.63	0.070
3.635	0.072
3.64	0.065
3.645	0.051
3.65	0.045
3.655	0.045
3.66	0.038
3.665	0.025
3.67	0.024
3.675	0.036
3.68	0.038
3.685	0.018
3.69	-0.006
3.695	-0.012
3.7	-0.011
3.705	-0.027
3.71	-0.058
3.715	-0.079
3.72	-0.076
3.725	-0.071
3.73	-0.085
3.735	-0.106
3.74	-0.107
3.745	-0.085
3.75	-0.060
3.755	-0.048
3.76	-0.037
3.765	-0.014
3.77	0.017
3.775	0.043
3.78	0.059
3.785	0.067
3.79	0.068
3.795	0.066
3.8	0.073
3.805	0.094
3.81	0.112
3.815	0.108
3.82	0.083
3.825	0.067
3.83	0.073
3.835	0.084
3.84	0.078
3.845	0.065
3.85	0.070
3.855	0.097
3.86	0.119
3.865	0.117
3.87	0.103
3.875	0.095
3.88	0.096
3.885	0.093
3.89	0.083
3.895	0.075
3.9	0.072
3.905	0.067
3.91	0.053
3.915	0.036
3.92	0.024
3.925	0.014
3.93	0.002
3.935	-0.013
3.94	-0.027
3.945	-0.040
3.95	-0.051
3.955	-0.058
3.96	-0.054
3.965	-0.041
3.97	-0.027
3.975	-0.019
3.98	-0.017
3.985	-0.016
3.99	-0.016
3.995	-0.015
4	-0.014
4.005	-0.013
4.01	-0.014
4.015	-0.015
4.02	-0.015
4.025	-0.012
4.03	-0.005
4.035	0.008
4.04	0.024
4.045	0.038
4.05	0.044
4.055	0.047
4.06	0.054
4.065	0.065
4.07	0.073
4.075	0.074
4.08	0.072
4.085	0.072
4.09	0.073
4.095	0.074
4.1	0.075
4.105	0.075
4.11	0.070
4.115	0.059
4.12	0.052
4.125	0.051
4.13	0.047
4.135	0.032
4.14	0.013
4.145	0.002
4.15	-0.004
4.155	-0.018
4.16	-0.038
4.165	-0.051
4.17	-0.051
4.175	-0.052
4.18	-0.066
4.185	-0.079
4.19	-0.079
4.195	-0.071
4.2	-0.078
4.205	-0.101
4.21	-0.116
4.215	-0.110
4.22	-0.096
4.225	-0.091
4.23	-0.094
4.235	-0.085
4.24	-0.062
4.245	-0.045
4.25	-0.042
4.255	-0.036
4.26	-0.007
4.265	0.035
4.27	0.062
4.275	0.065
